"","Site_Treatment","Year","Site","Sub_Site","Site_SubSite","Overall_Treatment","Year_0","Time_Since_Restoration","Tidal_Regime","Elevation","SPALT","abiotic_cover","live_cover","high_marsh_grams","other","salicornia","Canopy_Height_cm","Age_Classification","Runnel_Marsh_Precondition","MHT_NAVD88m","MHHT_NAVD88m","Spring_Tide_NAVD88m","Tidal_Range_m","MHT_Difference_m","MHT_Difference_Relative","MHHT_Difference_m","MHHT_Difference_Relative","Spring_Tide_Difference_m","Spring_Tide_Difference_Relative","Platform_Flood_Duration","Platform_HT_Frequency","Platform_Drainage_Depth_m","Root_Flood_Duration","Root_HT_Frequency","Root_Drainage_Depth_m","Drainage_Amplitude_m"
"1","Broad Cove - Runnel",2021,"Broad Cove","","Broad Cove","Runnel",2017,4,"Microtidal",1.018,0,22.8,77.2,59.7,17.6,0,46.6,"Early Restoration","Panne",0.95,0.971,1.305,1.331,0.068,5.11,0.047,3.53,-0.287,-21.56,41.4,31.6,0.047,58.6,40.4,-0.003,0.126
"2","Broad Cove - Runnel",2024,"Broad Cove","","Broad Cove","Runnel",2017,7,"Microtidal",NA,0,10.3,89.7,62.8,26.9,0,57.8,"Older Restoration","Panne",0.95,0.971,1.305,1.331,0.068,5.11,0.047,3.53,-0.287,-21.56,9.6,12.1,0.144,30.5,19,0.094,0.132
"3","Canonchet - Runnel",2022,"Canonchet","","Canonchet","Runnel",2015,7,"Microtidal",0.428,30.4,29.5,70.5,30.8,9.4,0,19.6,"Older Restoration","Panne",0.454,0.503,0.764,1.056,-0.026,-2.46,-0.075,-7.1,-0.336,-31.82,44.3,57.9,0.064,53.7,71.9,0.014,0.124
"4","Canonchet - Runnel",2024,"Canonchet","","Canonchet","Runnel",2015,9,"Microtidal",NA,39.1,22.8,77.2,31.8,6.9,0.1,26.9,"Older Restoration","Panne",0.454,0.503,0.764,1.056,-0.026,-2.46,-0.075,-7.1,-0.336,-31.82,6.9,43.1,0.103,43.5,51.7,0.053,0.139
"5","Essex - North - Runnel",2022,"Essex","North","Essex - North","Runnel",2022,0,"Mesotidal",1.512,49.2,46.9,53.1,3.8,11.2,0,20.3,"Early Restoration","Pool",1.232,1.364,2.038,2.893,0.28,9.68,0.148,5.12,-0.526,-18.18,12.2,24.6,0.075,38.4,36.8,0.025,0.068
"6","Essex - North - Runnel",2024,"Essex","North","Essex - North","Runnel",2022,2,"Mesotidal",NA,46.5,37.8,62.2,7.9,17.6,1.2,30.9,"Early Restoration","Pool",1.232,1.364,2.038,2.893,0.28,9.68,0.148,5.12,-0.526,-18.18,20.9,31.6,0.112,29.9,33.3,0.062,0.098
"7","Essex - South - Runnel",2022,"Essex","South","Essex - South","Runnel",2022,0,"Mesotidal",1.234,32,28.2,71.8,38.8,1,0,22.6,"Early Restoration","Pool",1.353,1.447,1.759,2.893,-0.119,-4.11,-0.213,-7.36,-0.525,-18.15,8.8,45.6,0.077,29.3,57.9,0.027,0.049
"8","Essex - South - Runnel",2024,"Essex","South","Essex - South","Runnel",2022,2,"Mesotidal",NA,55,30.6,69.4,11.2,5,0.2,53.6,"Early Restoration","Pool",1.353,1.447,1.759,2.893,-0.119,-4.11,-0.213,-7.36,-0.525,-18.15,21,61.4,0.07,57.9,80.7,0.02,0.104
"9","Ipswich - Runnel",2022,"Ipswich","","Ipswich","Runnel",2022,0,"Mesotidal",1.327,27.1,60.6,39.4,9,28.3,3.3,11.8,"Early Restoration","Panne",1.35,1.446,1.703,2.893,-0.023,-0.8,-0.119,-4.11,-0.376,-13,4.8,43.9,0.052,73,47.4,0.002,0.056
"10","Ipswich - Runnel",2024,"Ipswich","","Ipswich","Runnel",2022,2,"Mesotidal",NA,35.8,57.6,42.4,5.8,34.2,0.8,20.3,"Early Restoration","Panne",1.35,1.446,1.703,2.893,-0.023,-0.8,-0.119,-4.11,-0.376,-13,17.2,25.9,0.053,55.1,27.6,0.003,0.072
"11","Jacobs Point - Runnel",2021,"Jacobs Point","","Jacobs Point","Runnel",2016,5,"Microtidal",0.873,3,5.9,94.1,83.6,7.4,0.1,25,"Older Restoration","Panne",0.808,0.864,1.263,1.056,0.065,6.16,0.009,0.85,-0.39,-36.93,11.1,42.1,0.074,31.6,54.4,0.024,0.027
"12","Jacobs Point - Runnel",2024,"Jacobs Point","","Jacobs Point","Runnel",2016,8,"Microtidal",NA,5.4,25.2,74.8,63.5,9.5,0.1,43.2,"Older Restoration","Panne",0.808,0.864,1.263,1.056,0.065,6.16,0.009,0.85,-0.39,-36.93,2.6,24.1,0.088,34.5,41.4,0.038,0.089
"13","Kents Island - Runnel",2022,"Kents Island","","Kents Island","Runnel",2022,0,"Mesotidal",1.365,36.1,46.2,53.8,15,4.9,2,23,"Early Restoration","Panne",1.381,1.5,1.829,2.893,-0.016,-0.55,-0.135,-4.67,-0.464,-16.04,37.5,42.1,0.043,66.3,57.9,-0.007,0.09
"14","Kents Island - Runnel",2024,"Kents Island","","Kents Island","Runnel",2022,2,"Mesotidal",NA,45.5,34,66,18.7,0.8,1.7,35.1,"Early Restoration","Panne",1.381,1.5,1.829,2.893,-0.016,-0.55,-0.135,-4.67,-0.464,-16.04,8.6,38.6,0.1,27.3,54.4,0.05,0.087
"15","Middlebridge - Runnel",2022,"Middlebridge","","Middlebridge","Runnel",2016,6,"Microtidal",0.308,47.9,22.9,77.1,28.1,0,1.1,21.6,"Older Restoration","Pool",0.448,0.497,0.764,1.056,-0.14,-13.26,-0.189,-17.9,-0.456,-43.18,55.9,86,0.046,73.5,93,-0.004,0.082
"16","Middlebridge - Runnel",2024,"Middlebridge","","Middlebridge","Runnel",2016,8,"Microtidal",NA,28,42.8,57.2,29.2,0,0,21.1,"Older Restoration","Pool",0.448,0.497,0.764,1.056,-0.14,-13.26,-0.189,-17.9,-0.456,-43.18,13.6,58.6,0.184,18.2,74.1,0.134,0.154
"17","Moody Marsh - Runnel",2021,"Moody Marsh","","Moody Marsh","Runnel",2011,10,"Mesotidal",1.241,29.9,35.2,64.8,21.8,12,1,31.7,"Older Restoration","Pool",1.252,1.38,2.047,2.487,-0.011,-0.44,-0.139,-5.59,-0.806,-32.41,12.5,62.5,0.081,34,66.1,0.031,0.028
"18","Moody Marsh - Runnel",2024,"Moody Marsh","","Moody Marsh","Runnel",2011,13,"Mesotidal",NA,18.9,44.5,55.5,24,8.3,4.3,25.4,"Older Restoration","Pool",1.252,1.38,2.047,2.487,-0.011,-0.44,-0.139,-5.59,-0.806,-32.41,18.2,71.9,0.122,29.1,78.9,0.072,0.099
"19","Narrow River - Runnel",2022,"Narrow River","","Narrow River","Runnel",2016,6,"Microtidal",0.467,38.4,28.9,71.1,29,3.3,0.3,20,"Older Restoration","Pool",0.382,0.438,0.654,1.056,0.085,8.05,0.029,2.75,-0.187,-17.71,7.5,22.8,0.224,13.8,36.8,0.174,0.111
"20","Narrow River - Runnel",2024,"Narrow River","","Narrow River","Runnel",2016,8,"Microtidal",NA,34.2,28.3,71.7,32.8,3.9,0.8,26.2,"Older Restoration","Pool",0.382,0.438,0.654,1.056,0.085,8.05,0.029,2.75,-0.187,-17.71,12,17.2,0.182,15.4,32.8,0.132,0.14
"21","Old Town Hill - Runnel",2022,"Old Town Hill","","Old Town Hill","Runnel",2020,2,"Mesotidal",1.366,48.5,31.5,68.5,19.8,1.4,0.2,28.7,"Early Restoration","Panne",1.388,1.495,1.762,2.893,-0.022,-0.129,-0.396,-0.76,-4.46,-13.69,4.7,33.3,0.112,20.8,45.6,0.062,0.103
"22","Old Town Hill - Runnel",2024,"Old Town Hill","","Old Town Hill","Runnel",2020,4,"Mesotidal",NA,44.7,26.9,73.1,25.9,0.3,2.3,34.3,"Early Restoration","Panne",1.388,1.495,1.762,2.893,-0.022,-0.129,-0.396,-0.76,-4.46,-13.69,6.8,36.8,0.06,48.3,63.2,0.01,0.06
"23","Pine Island - North - Runnel",2021,"Pine Island","North","Pine Island - North","Runnel",2015,6,"Mesotidal",1.465,11.9,24.9,75.1,56.1,25.9,0,21.2,"Older Restoration","Pool",1.376,1.471,1.76,2.893,0.089,3.08,-0.006,-0.21,-0.295,-10.2,84.4,66.7,-0.007,100,73.7,-0.057,0.034
"24","Pine Island - North - Runnel",2024,"Pine Island","North","Pine Island - North","Runnel",2015,9,"Mesotidal",NA,18.9,25.4,74.6,50,5.2,0.5,30.2,"Older Restoration","Pool",1.376,1.471,1.76,2.893,0.089,3.08,-0.006,-0.21,-0.295,-10.2,51.6,71.7,0.009,78.7,83.3,-0.041,0.115
"25","Pine Island - South - Runnel",2021,"Pine Island","South","Pine Island - South","Runnel",2015,6,"Mesotidal",1.221,41,56,44,2.1,0,0.9,51.4,"Older Restoration","Pool",1.376,1.471,1.76,2.893,-0.155,-5.36,-0.25,-8.64,-0.539,-18.63,6,38.6,0.174,8.9,54.4,0.124,0.04
"26","Pine Island - South - Runnel",2024,"Pine Island","South","Pine Island - South","Runnel",2015,9,"Mesotidal",NA,57.1,33.6,66.4,6.8,3.5,2,64.8,"Older Restoration","Pool",1.376,1.471,1.76,2.893,-0.155,-5.36,-0.25,-8.64,-0.539,-18.63,6.4,53.3,0.193,8.8,56.7,0.143,0.056
"27","Plum Island - DPR - North - Runnel",2021,"Plum Island - DPR","North","Plum Island - DPR - North","Runnel",2016,5,"Mesotidal",1.507,39.3,30,70,29.6,13.4,0,48.8,"Older Restoration","Panne",1.293,1.405,1.971,2.893,0.214,7.4,0.102,3.53,-0.464,-16.04,38.5,17,0.034,69.2,20.8,-0.016,0.079
"28","Plum Island - DPR - North - Runnel",2024,"Plum Island - DPR","North","Plum Island - DPR - North","Runnel",2016,8,"Mesotidal",NA,25.2,25.9,74.1,48.1,10.5,0.2,42.3,"Older Restoration","Panne",1.293,1.405,1.971,2.893,0.214,7.4,0.102,3.53,-0.464,-16.04,8,32.8,0.106,38.6,41.4,0.056,0.121
"29","Plum Island - DPR - South - Runnel",2021,"Plum Island - DPR","South","Plum Island - DPR - South","Runnel",2017,4,"Mesotidal",1.528,38.2,22.2,77.8,21.6,12.4,6.4,48.2,"Early Restoration","Panne",1.293,1.405,1.971,2.893,0.235,8.12,0.123,4.25,-0.443,-15.31,4.5,17,0.111,21.3,20.8,0.061,0.077
"30","Plum Island - DPR - South - Runnel",2024,"Plum Island - DPR","South","Plum Island - DPR - South","Runnel",2017,7,"Mesotidal",NA,30.9,29.1,70.9,32.1,6.9,1.1,48.2,"Older Restoration","Panne",1.293,1.405,1.971,2.893,0.235,8.12,0.123,4.25,-0.443,-15.31,24.2,31,0.092,38.2,39.7,0.042,0.129
"31","Plum Island - PLHA - North - Runnel",2022,"Plum Island - PLHA","North","Plum Island - PLHA - North","Runnel",2022,0,"Mesotidal",1.482,39.6,53.5,46.5,3.3,0.5,3,21.8,"Early Restoration","Pool",1.398,1.537,1.989,2.893,0.084,2.9,-0.055,-1.9,-0.507,-17.53,42.3,28.1,0.041,60.3,43.9,-0.009,0.146
"32","Plum Island - PLHA - North - Runnel",2024,"Plum Island - PLHA","North","Plum Island - PLHA - North","Runnel",2022,2,"Mesotidal",NA,40.5,41.5,58.5,13.5,19.5,3.2,50.5,"Early Restoration","Pool",1.398,1.537,1.989,2.893,0.084,2.9,-0.055,-1.9,-0.507,-17.53,26.6,39.7,0.073,42,41.4,0.023,0.149
"33","Plum Island - PLHA - South - Runnel",2022,"Plum Island - PLHA","South","Plum Island - PLHA - South","Runnel",2022,0,"Mesotidal",1.502,23.4,58.6,41.4,17.9,29.6,0.1,12.1,"Early Restoration","Pool",1.398,1.537,1.989,2.893,0.104,3.59,-0.035,-1.21,-0.487,-16.83,6.1,24.6,0.159,9.6,40.4,0.109,0.095
"34","Plum Island - PLHA - South - Runnel",2024,"Plum Island - PLHA","South","Plum Island - PLHA - South","Runnel",2022,2,"Mesotidal",NA,8.6,53,47,35.9,44.3,2.6,12.3,"Early Restoration","Pool",1.398,1.537,1.989,2.893,0.104,3.59,-0.035,-1.21,-0.487,-16.83,13.7,34.5,0.083,32.3,41.4,0.033,0.098
"35","Potters Pond - Runnel",2021,"Potters Pond","","Potters Pond","Runnel",2018,3,"Microtidal",0.174,31.4,52.2,47.8,12.4,5.4,3.9,19.1,"Early Restoration","Pool",0.264,0.295,0.552,1.056,-0.09,-8.52,-0.121,-11.46,-0.378,-35.8,42.3,85.7,0.063,67.4,94.6,0.013,0.079
"36","Potters Pond - Runnel",2024,"Potters Pond","","Potters Pond","Runnel",2018,6,"Microtidal",NA,33.6,46.4,53.6,14.6,10.6,5.4,15.6,"Older Restoration","Pool",0.264,0.295,0.552,1.056,-0.09,-8.52,-0.121,-11.46,-0.378,-35.8,29.2,56.9,0.091,59.1,74.1,0.041,0.112
"37","Round Marsh - Runnel",2024,"Round Marsh","","Round Marsh","Runnel",2014,10,"Microtidal",NA,31.7,22.9,77.1,44.6,0.5,0.2,33.6,"Older Restoration","Panne",0.679,0.736,1.006,1.056,-0.031,-2.94,-0.088,-8.33,-0.358,-33.9,9.4,37.9,0.064,67.4,51.7,0.014,0.126
"38","Sapowet - North - Runnel",2022,"Sapowet","North","Sapowet - North","Runnel",2018,4,"Microtidal",0.626,13.7,51,49,31.9,2.2,1.2,18.4,"Early Restoration","Pool",0.543,0.624,0.932,1.056,0.083,7.86,0.002,0.19,-0.306,-28.98,2.3,10.3,0.187,11.8,13.8,0.137,0.14
"39","Sapowet - North - Runnel",2024,"Sapowet","North","Sapowet - North","Runnel",2018,6,"Microtidal",NA,43.2,32.2,67.8,21.6,1.8,1.2,36.9,"Older Restoration","Pool",0.543,0.624,0.932,1.056,0.083,7.86,0.002,0.19,-0.306,-28.98,10.2,33.3,0.091,38.6,43.9,0.041,0.118
"40","Sapowet - South - Runnel",2022,"Sapowet","South","Sapowet - South","Runnel",2022,0,"Microtidal",0.668,39.9,33.7,66.3,20.6,1.9,4,20.7,"Early Restoration","Pool",0.543,0.624,0.932,1.056,0.125,11.84,0.044,4.17,-0.264,-25,5.1,13.8,0.148,13.6,25.9,0.098,0.097
"41","Sapowet - South - Runnel",2024,"Sapowet","South","Sapowet - South","Runnel",2022,2,"Microtidal",NA,24.1,55.9,44.1,18.3,39.7,0.9,30.7,"Early Restoration","Pool",0.543,0.624,0.932,1.056,0.125,11.84,0.044,4.17,-0.264,-25,15,43.9,0.072,44.7,50.9,0.022,0.11
"42","Weekapaug - Runnel",2021,"Weekapaug","","Weekapaug","Runnel",2017,4,"Microtidal",0.199,38.2,50.7,49.3,10.2,8.9,0.3,22.8,"Early Restoration","Pool",0.377,0.437,0.755,1.056,-0.178,-16.86,-0.238,-22.54,-0.556,-52.65,76.2,96.4,0.003,97.1,100,-0.047,0.077
"43","Weekapaug - Runnel",2024,"Weekapaug","","Weekapaug","Runnel",2017,7,"Microtidal",NA,36.3,50.7,49.3,11.4,8.7,1.2,29.8,"Older Restoration","Pool",0.377,0.437,0.755,1.056,-0.178,-16.86,-0.238,-22.54,-0.556,-52.65,21.8,67.2,0.11,29.1,82.8,0.06,0.171
"44","Winnapaug - Runnel",2021,"Winnapaug","","Winnapaug","Runnel",2013,8,"Microtidal",0.226,25.9,36.5,63.5,15.2,9.4,19,23.6,"Older Restoration","Pool",0.387,0.446,0.755,1.056,-0.161,-15.25,-0.22,-20.83,-0.529,-50.09,34.1,92.7,0.069,42.2,100,0.019,0.056
"45","Winnapaug - Runnel",2024,"Winnapaug","","Winnapaug","Runnel",2013,11,"Microtidal",NA,20.8,50.4,49.6,21.1,17.9,6.8,23.8,"Older Restoration","Pool",0.387,0.446,0.755,1.056,-0.161,-15.25,-0.22,-20.83,-0.529,-50.09,48.8,62.1,0.029,86.5,72.4,-0.021,0.145
