"","Salt_Marsh","Year","Year_0","Time_Since_Restoration","Site","State","Overall_Treatment","Tidal_Regime","Marsh_Condition","Transect","Elevation_mean","SPALT_mean","abiotic_cover_mean","live_cover_mean","high_marsh_grams_mean","algae_cover_mean","richness_mean","Canopy_Height_cm_mean"
"1","Ogunquit Marsh",2021,2011,10,"Moody Marsh","Maine","No Action","Mesotidal","Pool","T1",1.498,16,45.6,54.4,30.2,1,1.8,22
"2","Ogunquit Marsh",2021,2011,10,"Moody Marsh","Maine","No Action","Mesotidal","Pool","T2",1.554,35,53.3,46.7,11.1,0,1.6,26.2
"3","Ogunquit Marsh",2021,2011,10,"Moody Marsh","Maine","Reference","Mesotidal","Pool","T1",1.426,1.6,11.6,88.4,78.9,0,5,23.6
"4","Ogunquit Marsh",2021,2011,10,"Moody Marsh","Maine","Reference","Mesotidal","Pool","T2",1.44,2.8,7.3,92.7,87.5,0,3.8,22.8
"5","Ogunquit Marsh",2021,2011,10,"Moody Marsh","Maine","Runnel","Mesotidal","Pool","T1",1.244,30.2,26.8,73.2,23.1,4,3.1,31.8
"6","Ogunquit Marsh",2021,2011,10,"Moody Marsh","Maine","Runnel","Mesotidal","Pool","T2",1.239,29.7,42.8,57.2,20.6,2.6,2.3,31.7
"7","Salt Ponds Region",2021,2013,8,"Winnapaug","Rhode Island","No Action","Microtidal","Pool","T1",0.208,25,37.5,62.5,11.2,0,2.5,28.2
"8","Salt Ponds Region",2021,2013,8,"Winnapaug","Rhode Island","No Action","Microtidal","Pool","T2",0.198,17.5,42.5,57.5,33.8,0,3,25.8
"9","Salt Ponds Region",2021,2013,8,"Winnapaug","Rhode Island","Reference","Microtidal","Pool","T1",0.274,3.8,21,79,69.2,0,4.5,25.2
"10","Salt Ponds Region",2021,2013,8,"Winnapaug","Rhode Island","Reference","Microtidal","Pool","T2",0.234,14,20.2,79.8,65.4,0,3.2,22.2
"11","Salt Ponds Region",2021,2013,8,"Winnapaug","Rhode Island","Runnel","Microtidal","Pool","T1",0.298,38.8,30,70,12,0,3.2,27.8
"12","Salt Ponds Region",2021,2013,8,"Winnapaug","Rhode Island","Runnel","Microtidal","Pool","T2",0.177,17.3,40.8,59.2,17.3,0,3.5,20.8
"13","Narragansett Bay",2021,2014,7,"Round Marsh","Rhode Island","No Action","Microtidal","Panne","T1",0.603,49.3,32,69.4,13.9,2.1,2.7,25.6
"14","Narragansett Bay",2021,2014,7,"Round Marsh","Rhode Island","No Action","Microtidal","Panne","T2",0.669,35.8,41.8,57.4,15.8,0.8,2.8,28.3
"15","Narragansett Bay",2021,2014,7,"Round Marsh","Rhode Island","Reference","Microtidal","Panne","T1",0.684,2,3.6,96.4,94.2,0,2.8,15.8
"16","Narragansett Bay",2021,2014,7,"Round Marsh","Rhode Island","Reference","Microtidal","Panne","T2",0.728,11,14.2,85.8,74.4,0,2.6,24.4
"17","Narragansett Bay",2021,2014,7,"Round Marsh","Rhode Island","Runnel","Microtidal","Panne","T1",0.618,20,37.5,62.5,39,2,3.8,25
"18","Narragansett Bay",2021,2014,7,"Round Marsh","Rhode Island","Runnel","Microtidal","Panne","T2",0.666,3,9.4,92.6,85.2,0,2.6,22.2
"19","Narragansett Bay",2021,2014,7,"Round Marsh","Rhode Island","Runnel","Microtidal","Panne","T3",0.652,30,43.5,56.5,24.2,0,2.5,27
"20","Parker River Estuary",2021,2015,6,"Pine Island","Massachusetts","No Action","Mesotidal","Pool","T1",1.527,58.8,33.7,66.3,4.2,10,1.5,30.3
"21","Parker River Estuary",2021,2015,6,"Pine Island","Massachusetts","No Action","Mesotidal","Pool","T2",1.533,0,44.3,55.7,50.8,18.7,2.2,23.7
"22","Parker River Estuary",2021,2015,6,"Pine Island","Massachusetts","Reference","Mesotidal","Pool","T1",1.509,5.2,8.5,91.5,85.6,0,2.2,17.2
"23","Parker River Estuary",2021,2015,6,"Pine Island","Massachusetts","Reference","Mesotidal","Pool","T2",1.509,0.2,12.1,87.9,87.2,0,2.5,17.7
"24","Parker River Estuary",2021,2015,6,"Pine Island","Massachusetts","Runnel","Mesotidal","Pool","T1",1.34,26,43,57,29.4,10,1.9,32.6
"25","Parker River Estuary",2021,2015,6,"Pine Island","Massachusetts","Runnel","Mesotidal","Pool","T2",1.306,31.7,42.8,57.2,19.8,11.1,1.9,45.4
"26","Narragansett Bay",2021,2016,5,"Jacobs Point","Rhode Island","No Action","Microtidal","Panne","T1",0.811,15.3,38.8,61.2,45.8,0,2.2,45
"27","Narragansett Bay",2021,2016,5,"Jacobs Point","Rhode Island","No Action","Microtidal","Panne","T2",0.766,25.8,57.3,42.7,16.8,0,2,29.8
"28","Narragansett Bay",2021,2016,5,"Jacobs Point","Rhode Island","Reference","Microtidal","Panne","T1",0.821,3.2,21.8,78.2,75,0,2.5,28.8
"29","Narragansett Bay",2021,2016,5,"Jacobs Point","Rhode Island","Reference","Microtidal","Panne","T2",0.819,0,9.6,90.4,89.4,0,2.4,17.6
"30","Narragansett Bay",2021,2016,5,"Jacobs Point","Rhode Island","Runnel","Microtidal","Panne","T1",0.898,1.8,6,94,80.8,0,3.6,25.6
"31","Narragansett Bay",2021,2016,5,"Jacobs Point","Rhode Island","Runnel","Microtidal","Panne","T2",0.83,5,5.7,94.3,88.3,0,3,24
"32","Parker River Estuary",2021,2016,5,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T1",1.498,0,6.7,93.3,83.4,0,3.9,16
"33","Parker River Estuary",2021,2016,5,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T2",1.495,5.4,6.4,93.6,63.9,0,4.3,23.9
"34","Parker River Estuary",2021,2016,5,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T3",1.492,2.5,6.1,93.9,70.7,0,4.2,21.1
"35","Parker River Estuary",2021,2016,5,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T1",1.501,41.7,29.5,70.5,28.1,0,2.7,49.7
"36","Parker River Estuary",2021,2016,5,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T2",1.513,36.6,30.6,69.4,31.2,0,2.4,47.9
"37","Parker River Estuary",2021,2017,4,"Plum Island - DPR","Massachusetts","No Action","Mesotidal","Panne","T1",1.49,39.4,33.2,66.8,25.1,3,2.3,39.2
"38","Parker River Estuary",2021,2017,4,"Plum Island - DPR","Massachusetts","No Action","Mesotidal","Panne","T2",1.501,42,41,59,9,3,2,33.8
"39","Parker River Estuary",2021,2017,4,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T1",1.507,6.1,8.8,91.2,82.4,0,2.4,22.9
"40","Parker River Estuary",2021,2017,4,"Plum Island - DPR","Massachusetts","Reference","Mesotidal","Panne","T2",1.495,0,8.5,91.5,88.2,0,2.6,22.4
"41","Parker River Estuary",2021,2017,4,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T1",1.55,37.5,22.1,77.8,26,1,3,46.3
"42","Parker River Estuary",2021,2017,4,"Plum Island - DPR","Massachusetts","Runnel","Mesotidal","Panne","T2",1.497,39.3,22.4,77.6,15.4,0.7,3.1,50.9
"43","Salt Ponds Region",2021,2017,4,"Weekapaug","Rhode Island","No Action","Microtidal","Pool","T1",0.133,5,83.3,15,6.7,6.7,1.3,23
"44","Salt Ponds Region",2021,2017,4,"Weekapaug","Rhode Island","No Action","Microtidal","Pool","T2",0.2,16,51,49,31,3,2.6,27
"45","Salt Ponds Region",2021,2017,4,"Weekapaug","Rhode Island","Reference","Microtidal","Pool","T1",0.232,10,23.3,76.7,61,1.7,3.7,30
"46","Salt Ponds Region",2021,2017,4,"Weekapaug","Rhode Island","Reference","Microtidal","Pool","T2",0.253,8,31,69,56.2,0,3.6,26.4
"47","Salt Ponds Region",2021,2017,4,"Weekapaug","Rhode Island","Runnel","Microtidal","Pool","T1",0.205,26,59,41,13.2,32.8,2.8,20.2
"48","Salt Ponds Region",2021,2017,4,"Weekapaug","Rhode Island","Runnel","Microtidal","Pool","T2",0.196,44.2,46.5,53.5,8.8,4.9,1.4,24.1
"49","Taunton River",2021,2017,4,"Broad Cove","Rhode Island","Reference","Microtidal","Panne","T1",0.975,0,15,85,74,0,3.2,30
"50","Taunton River",2021,2017,4,"Broad Cove","Rhode Island","Reference","Microtidal","Panne","T2",1.032,1,28.6,71.4,53.4,0,4.2,28.4
"51","Taunton River",2021,2017,4,"Broad Cove","Rhode Island","Runnel","Microtidal","Panne","T1",1.011,0,29,71,49,0,3.6,52.6
"52","Taunton River",2021,2017,4,"Broad Cove","Rhode Island","Runnel","Microtidal","Panne","T2",1.028,0,15,85,73,0,2.8,39
"53","Salt Ponds Region",2021,2018,3,"Potters Pond","Rhode Island","No Action","Microtidal","Pool","T1",0.122,24,54.3,45.7,21.7,26,1.7,24.3
"54","Salt Ponds Region",2021,2018,3,"Potters Pond","Rhode Island","Reference","Microtidal","Pool","T1",0.255,26.7,21.7,78.3,50.8,0,2.2,25.7
"55","Salt Ponds Region",2021,2018,3,"Potters Pond","Rhode Island","Reference","Microtidal","Pool","T2",0.227,18.7,9.7,90.3,71.7,0,2.7,29.3
"56","Salt Ponds Region",2021,2018,3,"Potters Pond","Rhode Island","Runnel","Microtidal","Pool","T1",0.205,38.9,44.5,55.5,16.4,2.2,1.8,19.5
"57","Salt Ponds Region",2021,2018,3,"Potters Pond","Rhode Island","Runnel","Microtidal","Pool","T2",0.102,36,53,47,0,9,1,23
"58","Salt Ponds Region",2021,2018,3,"Potters Pond","Rhode Island","Runnel","Microtidal","Pool","T3",0.193,17.5,61.7,38.3,17.5,4.2,1.3,15.2
"59","Narrow River Estuary",2022,2015,7,"Canonchet","Rhode Island","No Action","Microtidal","Panne","T1",0.435,19,47.6,52.4,33.4,0,1.2,13
"60","Narrow River Estuary",2022,2015,7,"Canonchet","Rhode Island","No Action","Microtidal","Panne","T2",0.392,37.5,62.5,37.5,0,0,0.5,10
"61","Narrow River Estuary",2022,2015,7,"Canonchet","Rhode Island","Reference","Microtidal","Panne","T1",0.47,7.2,5,95,83.2,0,4.2,28.8
"62","Narrow River Estuary",2022,2015,7,"Canonchet","Rhode Island","Reference","Microtidal","Panne","T2",0.439,25,21.6,78.4,52,0,3.6,21.8
"63","Narrow River Estuary",2022,2015,7,"Canonchet","Rhode Island","Runnel","Microtidal","Panne","T1",0.414,53.2,44,56,2.5,0,1.8,22
"64","Narrow River Estuary",2022,2015,7,"Canonchet","Rhode Island","Runnel","Microtidal","Panne","T2",0.443,7.5,15,85,59,0,3.8,17.2
"65","Narrow River Estuary",2022,2016,6,"Middlebridge","Rhode Island","No Action","Microtidal","Pool","T1",0.434,13.8,83,17,2.6,0,0.8,4.6
"66","Narrow River Estuary",2022,2016,6,"Middlebridge","Rhode Island","No Action","Microtidal","Pool","T2",0.474,36.4,49,51,10.6,0,1.4,16.4
"67","Narrow River Estuary",2022,2016,6,"Middlebridge","Rhode Island","Reference","Microtidal","Pool","T1",0.428,16.7,17,83,66,0,2.3,26.3
"68","Narrow River Estuary",2022,2016,6,"Middlebridge","Rhode Island","Reference","Microtidal","Pool","T2",0.427,19.2,29,71,49.5,0,2.8,27
"69","Narrow River Estuary",2022,2016,6,"Middlebridge","Rhode Island","Runnel","Microtidal","Pool","T1",0.321,26.8,24.8,75.2,47.2,0,2.4,21.6
"70","Narrow River Estuary",2022,2016,6,"Middlebridge","Rhode Island","Runnel","Microtidal","Pool","T2",0.291,74.2,20.5,79.5,4.2,0,1.8,21.5
"71","Narrow River Estuary",2022,2016,6,"Narrow River","Rhode Island","No Action","Microtidal","Pool","T1",0.504,25,60.2,39.8,12.5,0,1.5,16.5
"72","Narrow River Estuary",2022,2016,6,"Narrow River","Rhode Island","No Action","Microtidal","Pool","T2",0.511,28,33.6,66.4,38,0,1,13.6
"73","Narrow River Estuary",2022,2016,6,"Narrow River","Rhode Island","Reference","Microtidal","Pool","T1",0.462,15.6,11.6,88.4,72.6,0,1.6,18
"74","Narrow River Estuary",2022,2016,6,"Narrow River","Rhode Island","Reference","Microtidal","Pool","T2",0.417,76.2,15,85,8.8,0,1.2,27
"75","Narrow River Estuary",2022,2016,6,"Narrow River","Rhode Island","Runnel","Microtidal","Pool","T1",0.46,43.2,24.6,75.4,31.8,0,1.8,20.6
"76","Narrow River Estuary",2022,2016,6,"Narrow River","Rhode Island","Runnel","Microtidal","Pool","T2",0.476,32.5,34.2,65.8,25.5,0,3,19.2
"77","Narragansett Bay",2022,2018,4,"Sapowet","Rhode Island","Reference","Microtidal","Pool","T1",0.633,0,19.8,80.2,77,0,2.5,22.5
"78","Narragansett Bay",2022,2018,4,"Sapowet","Rhode Island","Reference","Microtidal","Pool","T2",0.596,7.5,13.2,86.8,78.8,0,2.2,27
"79","Narragansett Bay",2022,2018,4,"Sapowet","Rhode Island","Runnel","Microtidal","Pool","T1",0.633,30.8,29.5,70.5,36.5,0,2.8,25
"80","Narragansett Bay",2022,2018,4,"Sapowet","Rhode Island","Runnel","Microtidal","Pool","T2",0.621,0,68.2,31.8,28.2,0,1.2,13.2
"81","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","No Action","Mesotidal","Panne","T1",1.352,35.6,52.8,47.2,5,2.6,1.8,22.4
"82","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","No Action","Mesotidal","Panne","T2",1.346,27.3,53,47,14,2.2,2.2,30.3
"83","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","Reference","Mesotidal","Panne","T1",1.495,5.3,15,85,79,0,3.7,26.7
"84","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","Reference","Mesotidal","Panne","T2",1.474,4.7,13,87,80.7,0,3.8,26.3
"85","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T1",1.288,50.9,28.5,71.5,20.6,2.5,1.8,28.2
"86","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T2",1.383,37,31.3,68.7,31.4,0.7,2.1,27.3
"87","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T3",1.413,58,35.7,64.3,6,1.7,1.7,29.2
"88","Parker River Estuary",2022,2020,2,"Old Town Hill","Massachusetts","Runnel","Mesotidal","Panne","T4",1.402,49.2,31.5,68.5,18.8,0,2.3,30.5
"89","Great Marsh",2022,2022,0,"Essex","Massachusetts","No Action","Mesotidal","Pool","T1",1.474,18.9,32.7,67.3,41.6,0,2.7,19
"90","Great Marsh",2022,2022,0,"Essex","Massachusetts","No Action","Mesotidal","Pool","T2",1.468,22,32,68,46,0,2.4,17.4
"91","Great Marsh",2022,2022,0,"Essex","Massachusetts","Reference","Mesotidal","Pool","T1",1.443,0,14.6,85.4,85.4,0,1.6,16.6
"92","Great Marsh",2022,2022,0,"Essex","Massachusetts","Reference","Mesotidal","Pool","T2",1.362,4,10.8,89.2,85.2,0,3,16.2
"93","Great Marsh",2022,2022,0,"Essex","Massachusetts","Runnel","Mesotidal","Pool","T1",1.469,35.4,38.2,61.8,25.6,0.2,2.4,15.9
"94","Great Marsh",2022,2022,0,"Essex","Massachusetts","Runnel","Mesotidal","Pool","T2",1.338,53.3,42.8,57.2,3.8,0.8,1.7,28.2
"95","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","No Action","Mesotidal","Panne","T1",1.251,25,48.3,51.7,25.6,0.7,2.1,14.9
"96","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","No Action","Mesotidal","Panne","T2",1.265,28,62.4,37.6,9.6,2,1.2,15.8
"97","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","Reference","Mesotidal","Panne","T1",1.165,27.8,16.2,83.8,55.4,0.8,3,14.4
"98","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","Reference","Mesotidal","Panne","T2",1.241,8.6,19.6,80.4,70.2,0.6,4.2,25.6
"99","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","Runnel","Mesotidal","Panne","T1",1.355,37.7,55.3,44.7,1.7,5.6,1.6,13.1
"100","Great Marsh",2022,2022,0,"Ipswich","Massachusetts","Runnel","Mesotidal","Panne","T2",1.288,12.2,68,32,19.2,17.2,1.6,10
"101","Narragansett Bay",2022,2022,0,"Sapowet","Rhode Island","No Action","Microtidal","Pool","T1",0.676,29.2,54.2,45.8,16.6,0,1.4,17.8
"102","Narragansett Bay",2022,2022,0,"Sapowet","Rhode Island","No Action","Microtidal","Pool","T2",0.657,27.4,49.2,50.8,23,14,1.8,23.4
"103","Narragansett Bay",2022,2022,0,"Sapowet","Rhode Island","Runnel","Microtidal","Pool","T1",0.676,30,39.4,60.6,22.4,0,1.8,22.6
"104","Narragansett Bay",2022,2022,0,"Sapowet","Rhode Island","Runnel","Microtidal","Pool","T2",0.659,52.2,26.5,73.5,18.2,0,2.2,18.2
"105","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","No Action","Mesotidal","Panne","T1",1.413,28.4,61.1,38.9,9.7,0,1.4,18.3
"106","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","No Action","Mesotidal","Panne","T2",1.425,32,56.2,43.8,10,0,1.9,21.6
"107","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","Reference","Mesotidal","Panne","T1",1.364,3.9,6.1,93.9,86,0,3.3,21.6
"108","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","Reference","Mesotidal","Panne","T2",1.144,8.8,7,93,80.5,0,4,27.5
"109","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","Runnel","Mesotidal","Panne","T1",1.383,40.2,37.8,62.2,20.1,6.7,2.2,28
"110","Parker River Estuary",2022,2022,0,"Kents Island","Massachusetts","Runnel","Mesotidal","Panne","T2",1.342,30.7,57.4,42.6,8.3,8.9,1.9,16.2
"111","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","No Action","Mesotidal","Pool","T1",1.355,51,33,67,15.9,1,1.6,26.6
"112","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","No Action","Mesotidal","Pool","T2",1.44,24.5,32.2,67.8,43.2,0.5,1.2,20
"113","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","Reference","Mesotidal","Pool","T1",1.467,5.9,13,87,73.1,0,3.8,24.3
"114","Parker River Estuary",2022,2022,0,"Plum Island - PLHA","Massachusetts","Reference","Mesotidal","Pool","T2",1.444,5.4,18.2,81.8,75.7,0,2.5,24.5
