PointID,State,Restored,Treatment,Date,Year,low_marsh,high_marsh,saltmarsh_border,brackish_border,invasives,pannes,open_water,upland,wrack,snags,SPALT_short,SPALT_tall,SPPAT,DISPI,JUGER,IVFRU,PHAUS,Forbs,RUMAR,SCMAR
BC REF,MA,NA,REF,6/28/2023,2023,1,6,0,1,1,0.5,0,1,0,0,0,0,15,15,60,0,0,0,0,0
BC RUN,MA,YES,RUN,6/28/2023,2023,0,6,2,1,1,1,0,1,0,3,0,0,40,20,20,10,5,0,0,0
CN NAC,RI,NA,NAC,6/29/2023,2023,1,6,0,0,0.5,2,0,0,0,0,70,5,10,0,0,0,0,0,0,0
CN REF,RI,NA,REF,6/29/2023,2023,0,6,0.5,0,0,0.5,3,0,0.5,0,50,0,20,10,5,0,0,0,0,0
CN RUN,RI,YES,RUN,6/29/2023,2023,1,6,3,0,1,1,0,0,0,0,50,5,15,10,5,15,0,0,0,0
DPR REF North,MA,NA,REF,7/21/2023,2023,2,6,0,0,0,2,0,0,0,0,15,10,10,5,40,0,0,10,0,0
DPR RUN North,MA,YES,RUN,7/21/2023,2023,2,5,1,0,0,3,0,0,0,0,35,10,10,0,25,0,0,0,0,0
DPR NAC South,MA,NA,NAC,7/21/2023,2023,1,4,0,0,0,5,0,0,1,0,30,5,10,0,0,0,0,0,0,0
DPR REF South,MA,NA,REF,7/21/2023,2023,1,6,0,0,0,1,0,0,0,0,5,5,40,15,35,0,0,0,0,0
DPR RUN South,MA,YES,RUN,7/21/2023,2023,1,5,3,0,0.5,2,0,0,0,0,40,5,30,0,0,15,0,0,0,0
Essex NAC North,MA,NA,NAC,7/19/2023,2023,2,4,0.5,0,0,4,0,0,0,0,40,5,10,0,0,0,0,0,0,0
Essex NAC South,MA,NA,RUN,7/19/2023,2023,2,5,0,0,0,3,0,0,0,0,20,15,30,10,0,0,0,0,0,0
Essex RUN North,MA,YES,RUN,7/19/2023,2023,2,5,0.5,0,0,4,0,0,0.5,0,35,10,15,10,0,0,0,0,0,0
Essex RUN South,MA,YES,RUN,7/19/2023,2023,3,5,0,0,0,3,0,0,0,0,25,20,20,10,0,0,0,0,0,0
Essex REF South,MA,NA,REF,7/19/2023,2023,2,6,0,0,0,2,0,0,0,0,50,10,20,10,0,0,0,0,0,0
Ipswich NAC West,MA,NA,NAC,7/12/2023,2023,1,6,1,0,1,2,0,0.5,0.5,0,55,0,25,0,,0,0,0,0,0
Ipswich RUN West,MA,YES,RUN,7/12/2023,2023,0,5,0,0,2,3,0,1,1,1,45,0,15,5,0,0,5,0,0,0
Ipswich REF West,MA,NA,REF,7/12/2023,2023,0,6,0,0,0,2,0,0,0,0,15,0,50,30,0,0,0,0,0,0
JP NAC,RI,NA,NAC,6/28/2023,2023,0.5,6,0,0,1,0.5,1,0,0,0,5,0,10,50,0,25,0,0,0,0
JP RUN,RI,YES,RUN,6/28/2023,2023,0,6,0,0,3,0.5,0,0,0,1,0,0,10,10,50,25,5,0,0,0
Kents NAC,MA,NA,NAC,7/11/2023,2023,1,6,1,0,0,2,0,1,0,0,55,0,25,5,0,0,0,0,0,0
Kents REF,MA,NA,REF,7/11/2023,2023,0.5,6,0,0,0,1,0,0,0,0,20,5,65,10,0,0,0,0,0,0
Kents RUN,MA,YES,RUN,7/11/2023,2023,0,6,0.5,0,0,1,0,0,0.5,0,55,0,40,0,0,0,0,0,0,0
MD NAC,RI,NA,NAC,6/28/2023,2023,0.5,4,2,0,0,5,1,1,0,3,25,0,0,5,0,0,0,5,0,0
MD REF,RI,NA,REF,6/28/2023,2023,1,6,2,0,0,1,2,1,0,8,60,0,5,0,0,10,0,5,0,0
MD RUN,RI,YES,RUN,6/28/2023,2023,1,5,1,0,0,1,2,1,0,1,55,5,15,5,0,5,0,0,0,0
MM NAC,ME,NA,NAC,7/17/2023,2023,0.5,4,0,0,0,4,0,0,0,0,25,0,15,10,0,0,0,0,10,0
MM REF,ME,NA,REF,7/17/2023,2023,1,6,0,0,0,3,0.5,0,0,0,5,5,30,50,0,0,0,0,0,0
MM RUN,ME,YES,RUN,7/17/2023,2023,0.5,5,0,0,0,4,0,0,0,0,40,0,25,5,0,0,0,0,0,0
NR NAC,RI,NA,NAC,6/30/2023,2023,1,6,0.5,0,0.5,3,0,0,0,0,70,0,5,10,5,0,0,0,0,0
NR REF,RI,NA,REF,6/30/2023,2023,0.5,6,0,1,1,2,0,0,0,0,65,0,15,10,5,0,0,0,0,5
NR RUN,RI,YES,RUN,6/30/2023,2023,3,6,2,0.5,0,3,0.5,1,0,0,40,0,20,5,5,10,0,0,0,0
OTH NAC,MA,NA,NAC,7/7/2023,2023,2,5,0,0,1,3,0,0,0.5,0,75,0,5,0,0,0,0,0,0,0
OTH REF,MA,NA,REF,7/7/2023,2023,2,5,1,1,1,2,0,0,1,0,0,10,0,20,55,0,0,0,0,5
OTH RUN,MA,YES,RUN,7/7/2023,2023,2,6,0,0,0,2,0,0,0,0,65,5,15,10,0,0,0,0,0,0
PINE REF North,MA,NA,REF,7/18/2023,2023,3,6,0,0,0,1,0,0,0,0,20,10,35,20,5,0,0,0,0,0
PINE RUN North,MA,YES,RUN,7/18/2023,2023,1,5,0,0,0,4,0,0,0.5,0,15,0,30,5,15,0,0,0,0,0
PINE NAC,MA,NA,NAC,7/18/2023,2023,0,5,0,0,0,4,0,0,0.5,0,50,0,10,0,0,0,0,0,0,0
PINE REF South,MA,NA,REF,7/18/2023,2023,3,5,0,0,0,2,0,0,0,0,5,20,40,20,0,0,0,0,0,0
PINE RUN South,MA,YES,RUN,7/18/2023,2023,3,5,0.5,0,0,3,0,0,0,0,10,20,40,10,0,0,0,0,0,0
PLHA NAC,MA,NA,NAC,7/21/2023,2023,2,4,0,0,0,4,0,0,0,0,30,10,15,0,0,0,0,0,0,0
PLHA REF North,MA,NA,REF,7/21/2023,2023,3,6,0,0,0,2,0,0,0,0,20,10,45,5,5,0,0,0,0,0
PLHA REF South,MA,NA,REF,7/21/2023,2023,1,6,0,0,0,2,0,0,0,0,5,5,40,35,10,0,0,0,0,0
PLHA RUN North,MA,YES,RUN,7/21/2023,2023,0,4,0,0,0,5,0,0,0,1,35,0,10,0,0,0,0,0,15,0
PLHA RUN South,MA,YES,RUN,7/21/2023,2023,0,5,0,0,1,4,0,0.5,0,2,25,0,35,5,0,0,0,0,0,0
PP NAC,RI,NA,NAC,6/29/2023,2023,3,5,0.5,0,0,2,0,0,0,0,55,15,20,0,0,0,0,0,0,0
PP REF,RI,NA,REF,6/29/2023,2023,1,3,3,0,1,1,4,1,0.5,0,35,0,5,0,10,10,0,0,0,0
PP RUN,RI,YES,RUN,6/29/2023,2023,2,3,0,0,1,5,0,0,0,0,25,5,10,0,0,0,0,0,0,0
RM NAC,RI,NA,NAC,6/30/2023,2023,1,6,0,0,0,1,0,0,0,0,70,10,15,5,0,0,0,0,0,0
RM REF,RI,NA,REF,6/30/2023,2023,1,6,0,0,0,0.5,0,0,0.5,0,70,5,10,10,0,0,0,0,0,0
RM RUN,RI,YES,RUN,6/30/2023,2023,1,6,0,0,0,1,0,0,0.5,0,70,5,10,5,5,0,0,0,0,0
SP NAC,RI,NA,NAC,6/28/2023,2023,2,4,0,0,0,4,1,0,0.5,0,27,0,5,15,0,0,0,10,0,0
SP REF,RI,NA,REF,6/28/2023,2023,1,5,2,0,0,1,3,1,0.5,1,20,0,5,40,25,5,0,0,0,0
SP RUN North,RI,YES,RUN,6/28/2023,2023,2,4,1,0,1,4,0,0.5,0.5,0,35,5,10,15,0,0,0,0,0,0
SP RUN South,RI,YES,RUN,6/28/2023,2023,1,4,1,0,0,5,3,1,0,1,20,0,5,10,0,0,0,0,0,0
WPF NAC,RI,NA,NAC,6/29/2023,2023,2,5,1,0,0,3,0,1,0.5,3,50,10,0,5,0,0,0,0,0,0
WPF RUN,RI,YES,RUN,6/29/2023,2023,1,6,1,0,0,2,0,0.5,0,2,50,0,0,15,0,10,0,0,0,0
WPTL NAC,RI,NA,NAC,6/29/2023,2023,1,5,3,0,0.5,3,0,1,0.5,1,60,0,5,10,0,0,0,5,0,0
WPTL REF,RI,NA,REF,6/29/2023,2023,1,6,0,0,0,1,2,0,0.5,0,25,20,10,0,0,0,0,5,0,0
WPTL RUN,RI,YES,RUN,6/29/2023,2023,1,6,2,0,0,1,0,1,0.5,2,60,5,5,15,0,5,0,0,0,0
